Year,Month,NewPap,RevisedPapers,TotalSubmissions
2014,1,54,20,74
2014,2,66,21,87
2014,3,43,30,73
2014,4,66,33,99
2014,5,81,21,102
2014,6,72,35,107
2014,7,67,27,94
2014,8,80,42,122
2014,9,93,39,132
2014,10,88,31,119
2014,11,81,39,120
2014,12,95,34,129
2015,1,114,33,147
2015,2,88,38,126
2015,3,120,63,183
2015,4,119,61,180
2015,5,112,57,169
2015,6,128,60,188
2015,7,159,63,222
2015,8,159,83,242
2015,9,163,72,235
2015,10,191,91,282
2015,11,227,73,300
2015,12,194,82,276
2016,1,202,91,293
2016,2,271,122,393
2016,3,366,154,520
2016,4,345,145,490
2016,5,388,165,553
2016,6,400,133,533
2016,7,385,150,535
2016,8,448,175,623
2016,9,438,159,597
2016,10,455,211,666
2016,11,463,189,652
2016,12,557,209,766
2017,1,586,225,811
2017,2,623,249,872
2017,3,812,333,"1,145"
2017,4,740,286,"1,026"
2017,5,958,362,"1,320"
2017,6,"1,097",405,"1,502"
2017,7,977,397,"1,374"
2017,8,987,476,"1,463"
2017,9,"1,059",451,"1,510"
2017,10,"1,206",494,"1,700"
2017,11,"1,196",500,"1,696"
2017,12,"1,098",447,"1,545"
2018,1,"1,247",565,"1,812"
2018,2,"1,227",528,"1,755"
2018,3,"1,482",613,"2,095"
2018,4,"1,494",553,"2,047"
2018,5,"1,932",638,"2,570"
2018,6,"1,867",650,"2,517"
2018,7,"1,727",677,"2,404"
2018,8,"1,861",694,"2,555"
2018,9,"1,915",629,"2,544"
2018,10,"2,119",797,"2,916"
2018,11,"1,955",735,"2,690"
2018,12,"1,952",707,"2,659"
2019,1,"2,173",853,"3,026"
2019,2,"2,082",695,"2,777"
2019,3,"2,408",884,"3,292"
2019,4,"2,244",842,"3,086"
2019,5,"2,509",918,"3,427"
2019,6,"2,355",854,"3,209"
2019,7,"2,614",986,"3,600"
2019,8,"2,375",951,"3,326"
2019,9,"2,644",910,"3,554"
2019,10,"2,909","1,013","3,922"
2019,11,"2,564",925,"3,489"
2019,12,"2,302",852,"3,154"
2020,1,"2,657",992,"3,649"
2020,2,"2,744","1,022","3,766"
2020,3,"3,037","1,167","4,204"
2020,4,"3,413","1,249","4,662"
2020,5,"3,797","1,361","5,158"
2020,6,"3,819","1,327","5,146"
2020,7,"3,696","1,318","5,014"
2020,8,"3,186","1,137","4,323"
2020,9,"3,151","1,201","4,352"
2020,10,"3,188","1,235","4,423"
2020,11,"3,006","1,121","4,127"
2020,12,"3,023","1,193","4,216"
2021,1,"3,004","1,259","4,263"
2021,2,"3,156","1,230","4,386"
2021,3,"3,524","1,431","4,955"
2021,4,"3,250","1,262","4,512"
2021,5,"3,229","1,272","4,501"
2021,6,"3,000","1,192","4,192"
2021,7,"2,934","1,141","4,075"
2021,8,"2,847","1,143","3,990"
2021,9,"3,026","1,141","4,167"
2021,10,"3,061","1,162","4,223"
2021,11,"2,870","1,142","4,012"
2021,12,"2,965","1,049","4,014"
2022,1,"2,855","1,080","3,935"
2022,2,"2,646","1,020","3,666"
2022,3,"3,189","1,120","4,309"
2022,4,"2,695","1,084","3,779"
2022,5,"3,087","1,173","4,260"
2022,6,"2,891","1,050","3,941"
2022,7,"2,985","1,043","4,028"
2022,8,"2,905","1,053","3,958"
2022,9,"3,283","1,001","4,284"
2022,10,"3,211","1,110","4,321"
2022,11,"2,993","1,107","4,100"
2022,12,"3,010",997,"4,007"
2023,1,"2,987","1,099","4,086"
2023,2,"2,995","1,147","4,142"
2023,3,"3,447","1,285","4,732"
2023,4,"2,955","1,146","4,101"
2023,5,"3,104","1,297","4,401"
2023,6,"3,267","1,229","4,496"
2023,7,"3,177","1,180","4,357"
2023,8,"3,297","1,263","4,560"
2023,9,"3,587","1,229","4,816"
2023,10,"3,348","1,334","4,682"
2023,11,"3,623","1,374","4,997"
2023,12,"3,367","1,222","4,589"
2024,1,"3,221","1,348","4,569"
2024,2,"3,374","1,295","4,669"
2024,3,"3,747","1,442","5,189"
2024,4,"3,286","1,368","4,654"
2024,5,"3,576","1,422","4,998"
2024,6,"3,670","1,404","5,074"
2024,7,"3,712","1,440","5,152"
2024,8,"3,469","1,412","4,881"
2024,9,"4,002","1,413","5,415"
2024,10,"4,050","1,636","5,686"
2024,11,"3,685","1,466","5,151"
2024,12,"3,837","1,293","5,130"
